Region,Country,Population,Facility Name,Facility Type,Number of Beds,Number of Doctors,Number of Nurses,Annual Patient Visits,Emergency Response Time (minutes), Funding Received (USD) ,Electricity Availability,Internet Availability,Patient Satisfaction Rate (%),Average Distance to Facility (km),Urban_Rural
Central Senegal,Senegal,3409,Central Facility 439,Health Center,94,11,23,19842,28,"28,170",No,No,61.2,16,Rural
Eastern Ethiopia,Ethiopia,4946,Eastern Facility 440,Health Center,90,4,8,16160,42,"86,457",No,No,70.4,14.9,Rural
Western Kenya,Kenya,3331,Western Facility 441,Clinic,15,15,10,6983,55,"185,538",Yes,Yes,81.8,15.1,Rural
Eastern Rwanda,Rwanda,1328,Eastern Facility 442,Hospital,7,12,15,18870,20,"75,064",Yes,Yes,83.2,1.7,Rural
Southern Zambia,Zambia,5901,Southern Facility 443,Health Center,26,2,17,13480,10,"162,379",Yes,Yes,82.9,4,Urban
Central Malawi,Malawi,3510,Central Facility 444,Health Center,57,16,39,5938,27,"142,777",No,No,70.2,14.9,Rural
Dar es Salaam,Tanzania,7941,Dar Facility 445,Hospital,92,19,28,8251,33,"80,651",Yes,No,92.2,2.4,Urban
Central Senegal,Senegal,9995,Central Facility 446,Clinic,85,5,34,15689,13,"50,013",Yes,Yes,94.3,2.9,Urban
Western Uganda,Uganda,1696,Western Facility 447,Health Center,17,10,29,10553,32,"17,557",No,No,77.8,1.8,Rural
Northern Ghana,Ghana,9719,Northern Facility 448,Clinic,89,20,25,8320,17,"164,334",No,No,78.7,3,Urban
Dar es Salaam,Tanzania,9426,Dar Facility 449,Clinic,16,2,22,9150,49,"106,975",Yes,Yes,64.8,2.5,Urban
Eastern Rwanda,Rwanda,1344,Eastern Facility 450,Clinic,13,4,16,4319,11,"82,494",No,No,72.8,16.8,Rural
Western Uganda,Uganda,7002,Western Facility 451,Health Center,65,8,49,15589,36,"68,158",No,No,62.8,7.8,Urban
Western Kenya,Kenya,5565,Western Facility 452,Health Center,58,18,42,14541,24,"47,516",No,No,68.5,5.7,Urban
Western Kenya,Kenya,3388,Western Facility 453,Health Center,23,11,21,17728,27,"138,898",Yes,Yes,75.9,5.3,Rural
Eastern Rwanda,Rwanda,3625,Eastern Facility 454,Clinic,38,12,20,16694,53,"11,486",Yes,No,81.3,15.7,Rural
Central Senegal,Senegal,9619,Central Facility 455,Clinic,42,19,6,16028,34,"100,741",No,No,85.9,14.6,Urban
Dar es Salaam,Tanzania,2630,Dar Facility 456,Health Center,27,14,50,17253,23,"170,093",No,Yes,63.8,13.7,Rural
Dar es Salaam,Tanzania,8910,Dar Facility 457,Hospital,84,5,42,14758,16,"19,831",No,No,76.9,11.9,Urban
Western Kenya,Kenya,816,Western Facility 458,Hospital,67,13,47,3137,5,"69,711",Yes,No,82.8,19.6,Rural
Southern Zambia,Zambia,7979,Southern Facility 459,Hospital,14,2,10,7004,18,"83,215",Yes,Yes,87.1,6.3,Urban
Western Kenya,Kenya,4080,Western Facility 460,Hospital,22,17,41,2366,29,"63,312",Yes,Yes,93.1,1.5,Rural
Western Kenya,Kenya,6247,Western Facility 461,Clinic,89,9,32,7638,54,"32,072",No,Yes,85.8,13.5,Urban
Southern Zambia,Zambia,5203,Southern Facility 462,Clinic,27,6,30,2194,8,"100,653",Yes,No,73.5,6.6,Urban
Central Malawi,Malawi,8088,Central Facility 463,Health Center,29,16,44,18283,14,"199,366",Yes,No,82.4,19.3,Urban
Western Kenya,Kenya,8705,Western Facility 464,Clinic,71,3,10,11742,54,"156,282",Yes,No,82.4,7,Urban
Dar es Salaam,Tanzania,7322,Dar Facility 465,Clinic,76,2,39,15459,5,"90,038",Yes,Yes,72.1,7.8,Urban
Dar es Salaam,Tanzania,5522,Dar Facility 466,Health Center,97,17,33,12107,35,"193,607",No,No,69.4,3.1,Urban
Southern Zambia,Zambia,5530,Southern Facility 467,Health Center,25,14,15,9380,58,"191,123",No,Yes,61.5,9.3,Urban
Eastern Nigeria,Nigeria,2381,Eastern Facility 468,Health Center,23,16,44,10368,31,"63,396",No,No,88.4,13.4,Rural
Central Senegal,Senegal,2218,Central Facility 469,Clinic,81,18,48,19169,49,"173,435",Yes,No,83.1,17.4,Rural
Southern Zambia,Zambia,7521,Southern Facility 470,Clinic,91,11,34,9922,52,"17,081",Yes,Yes,90.1,9.4,Urban
Eastern Ethiopia,Ethiopia,8450,Eastern Facility 471,Hospital,66,1,18,19442,23,"97,863",No,Yes,74.6,6.3,Urban
Northern Ghana,Ghana,5100,Northern Facility 472,Health Center,33,6,11,19220,21,"155,293",Yes,No,81.3,13.7,Urban
Northern Ghana,Ghana,4795,Northern Facility 473,Clinic,87,8,32,12442,16,"138,614",Yes,Yes,94.7,1.7,Rural
Northern Ghana,Ghana,7833,Northern Facility 474,Clinic,67,10,10,17049,8,"162,991",Yes,Yes,87.4,11.7,Urban
Northern Ghana,Ghana,7245,Northern Facility 475,Clinic,33,15,40,17058,16,"21,785",Yes,Yes,84.4,11.2,Urban
Northern Ghana,Ghana,8060,Northern Facility 476,Clinic,67,4,16,6697,9,"90,197",No,Yes,67.9,8,Urban
Central Malawi,Malawi,2029,Central Facility 477,Health Center,15,18,29,3947,54,"108,574",Yes,No,81.1,18.8,Rural
Western Kenya,Kenya,3790,Western Facility 478,Clinic,40,15,17,4551,59,"186,295",No,No,66.9,5.6,Rural
Southern Zambia,Zambia,7284,Southern Facility 479,Hospital,14,20,20,15842,53,"153,087",No,No,62.5,6.7,Urban
Eastern Ethiopia,Ethiopia,5983,Eastern Facility 480,Health Center,55,14,20,6914,6,"108,551",Yes,No,89.7,5.1,Urban
Eastern Nigeria,Nigeria,1076,Eastern Facility 481,Health Center,44,7,19,5869,12,"40,348",No,Yes,62.1,7,Rural
Western Uganda,Uganda,8772,Western Facility 482,Clinic,71,14,24,12301,41,"130,241",Yes,No,78.9,12.9,Urban
Eastern Nigeria,Nigeria,9284,Eastern Facility 483,Hospital,96,7,26,1785,47,"23,900",No,No,70,12.7,Urban
Western Kenya,Kenya,1796,Western Facility 484,Hospital,11,4,42,15286,42,"94,045",No,Yes,66.7,14.6,Rural
Central Malawi,Malawi,1562,Central Facility 485,Hospital,74,5,42,17057,25,"147,238",No,Yes,89.3,17.3,Rural
Western Uganda,Uganda,9795,Western Facility 486,Health Center,68,16,33,15656,22,"153,128",No,Yes,88.8,5.6,Urban
Eastern Ethiopia,Ethiopia,1781,Eastern Facility 487,Health Center,47,5,20,16909,5,"102,819",No,No,85.7,8.4,Rural
Dar es Salaam,Tanzania,632,Dar Facility 488,Health Center,43,17,24,19130,10,"56,618",No,No,69.2,15.7,Rural
Eastern Nigeria,Nigeria,6355,Eastern Facility 489,Clinic,8,5,15,15592,6,"164,397",No,No,68,13.2,Urban
Eastern Nigeria,Nigeria,6370,Eastern Facility 490,Hospital,61,1,16,4392,16,"128,995",Yes,No,91.8,18,Urban
Central Senegal,Senegal,9185,Central Facility 491,Hospital,9,13,48,11694,54,"158,001",Yes,No,62.8,10.1,Urban
Northern Ghana,Ghana,7538,Northern Facility 492,Health Center,66,7,5,17933,33,"55,268",Yes,Yes,65.7,6.6,Urban
Eastern Nigeria,Nigeria,7617,Eastern Facility 493,Clinic,65,13,24,12245,13,"85,526",No,Yes,67.7,19.8,Urban
Southern Zambia,Zambia,3137,Southern Facility 494,Clinic,27,8,16,16292,58,"79,053",No,No,91.3,12.3,Rural
Southern Zambia,Zambia,8836,Southern Facility 495,Health Center,6,17,20,4688,18,"65,670",No,No,63.2,2,Urban
Central Senegal,Senegal,2960,Central Facility 496,Hospital,44,7,48,9927,41,"172,613",No,No,66.7,19.9,Rural
Northern Ghana,Ghana,1520,Northern Facility 497,Clinic,66,3,23,8577,58,"41,941",No,Yes,78.6,12.6,Rural
Southern Zambia,Zambia,6207,Southern Facility 498,Clinic,86,7,38,11615,13,"143,451",No,Yes,72.9,2.6,Urban
Western Kenya,Kenya,7747,Western Facility 499,Hospital,51,15,36,17196,7,"152,918",Yes,Yes,89.2,5,Urban
Western Kenya,Kenya,5183,Western Facility 500,Clinic,76,1,33,15885,33,"166,490",No,Yes,79.1,5.6,Urban
Eastern Nigeria,Nigeria,9778,Eastern Facility 501,Hospital,56,20,48,15560,20,"49,338",No,Yes,73.1,2.4,Urban
Central Senegal,Senegal,5274,Central Facility 502,Health Center,19,19,13,9262,45,"130,214",No,No,85.7,16,Urban
Northern Ghana,Ghana,8288,Northern Facility 503,Health Center,44,13,27,17118,19,"94,947",No,Yes,61.9,14.5,Urban
Central Senegal,Senegal,1993,Central Facility 504,Health Center,11,1,42,4216,27,"50,873",No,Yes,62,13.4,Rural
Western Kenya,Kenya,2431,Western Facility 505,Hospital,11,10,9,18089,32,"177,222",No,No,73.8,12.4,Rural
Dar es Salaam,Tanzania,2042,Dar Facility 506,Health Center,44,20,43,1697,45,"74,849",No,No,81.8,1.5,Rural
Eastern Nigeria,Nigeria,3099,Eastern Facility 507,Clinic,21,6,46,5324,19,"127,139",No,Yes,60.5,18.2,Rural
Central Malawi,Malawi,7039,Central Facility 508,Health Center,21,16,27,16510,60,"109,124",No,Yes,81.5,13.7,Urban
Central Senegal,Senegal,1375,Central Facility 509,Health Center,96,8,24,12193,31,"157,457",Yes,No,63.8,8,Rural
Southern Zambia,Zambia,6881,Southern Facility 510,Hospital,7,7,12,3962,28,"110,405",Yes,No,82.7,18.6,Urban
Eastern Ethiopia,Ethiopia,4642,Eastern Facility 511,Clinic,77,6,7,19421,60,"137,297",No,No,88.8,18.1,Rural
Western Uganda,Uganda,8640,Western Facility 512,Clinic,23,9,19,8915,51,"183,765",No,Yes,90,13.3,Urban
Northern Ghana,Ghana,2797,Northern Facility 513,Clinic,19,12,34,1430,37,"116,533",Yes,Yes,83.4,12.8,Rural
Dar es Salaam,Tanzania,7030,Dar Facility 514,Clinic,10,14,13,11552,6,"56,381",No,Yes,80.9,15.2,Urban
Eastern Rwanda,Rwanda,2146,Eastern Facility 515,Health Center,73,6,9,14562,32,"181,033",Yes,Yes,91.6,4.5,Rural
Eastern Rwanda,Rwanda,6529,Eastern Facility 516,Clinic,47,8,46,18649,27,"196,343",No,No,70,19.7,Urban
Eastern Nigeria,Nigeria,2808,Eastern Facility 517,Clinic,67,1,47,12641,45,"16,961",Yes,No,60.2,5.9,Rural
Eastern Nigeria,Nigeria,897,Eastern Facility 518,Clinic,8,13,17,18020,40,"185,663",No,No,70.6,3.7,Rural
Central Senegal,Senegal,4652,Central Facility 519,Clinic,78,14,42,17352,25,"79,664",Yes,Yes,73.3,15.7,Rural
Central Senegal,Senegal,4226,Central Facility 520,Hospital,43,8,32,12174,58,"20,352",No,Yes,93.8,2.5,Rural
Eastern Ethiopia,Ethiopia,3547,Eastern Facility 521,Clinic,45,9,39,9384,26,"195,153",No,Yes,80.1,7.8,Rural
Southern Zambia,Zambia,9532,Southern Facility 522,Clinic,11,13,11,1305,10,"123,657",No,No,82.3,15.4,Urban
Western Uganda,Uganda,2898,Western Facility 523,Clinic,78,8,5,12653,38,"37,640",Yes,Yes,83.3,17.4,Rural
Western Uganda,Uganda,4460,Western Facility 524,Hospital,64,11,33,1656,24,"185,644",Yes,No,64.5,11.5,Rural
Eastern Rwanda,Rwanda,1496,Eastern Facility 525,Clinic,82,7,10,11731,11,"92,492",No,Yes,61.9,18.4,Rural
Southern Zambia,Zambia,8621,Southern Facility 526,Clinic,38,13,35,2928,36,"149,866",No,Yes,83.9,1.4,Urban
Southern Zambia,Zambia,4819,Southern Facility 527,Health Center,23,17,42,3085,29,"132,527",Yes,No,93.9,2.7,Rural
Eastern Nigeria,Nigeria,2562,Eastern Facility 528,Health Center,60,11,45,7110,5,"17,566",Yes,Yes,89.9,9.4,Rural
Eastern Rwanda,Rwanda,5187,Eastern Facility 529,Hospital,79,5,6,11191,37,"154,374",No,No,68.5,7,Urban
Eastern Rwanda,Rwanda,8087,Eastern Facility 530,Health Center,23,8,41,9916,13,"14,092",No,No,65,15.5,Urban
Eastern Ethiopia,Ethiopia,3836,Eastern Facility 531,Clinic,48,15,25,1602,10,"26,696",No,Yes,81.2,7.4,Rural
Western Kenya,Kenya,8448,Western Facility 532,Health Center,55,5,25,15597,25,"169,413",Yes,Yes,85.1,16.9,Urban
Eastern Rwanda,Rwanda,1851,Eastern Facility 533,Hospital,57,17,29,14226,28,"81,787",Yes,No,88,11.9,Rural
Eastern Ethiopia,Ethiopia,1862,Eastern Facility 534,Health Center,85,5,10,12526,58,"63,948",No,Yes,81.7,5.6,Rural
Central Senegal,Senegal,2180,Central Facility 535,Health Center,38,19,49,10236,22,"139,102",No,No,92.4,14.6,Rural
Dar es Salaam,Tanzania,3153,Dar Facility 536,Health Center,66,3,33,17424,49,"27,223",No,No,89.2,11.5,Rural
Southern Zambia,Zambia,5553,Southern Facility 537,Clinic,19,6,26,7061,14,"44,752",No,No,89.8,8.3,Urban
Western Uganda,Uganda,9998,Western Facility 538,Clinic,24,15,9,2026,48,"90,737",Yes,No,61.7,14.1,Urban
Eastern Ethiopia,Ethiopia,8147,Eastern Facility 539,Clinic,66,15,30,4874,14,"32,490",Yes,No,67.5,17,Urban
Northern Ghana,Ghana,4371,Northern Facility 540,Hospital,6,17,50,7308,50,"135,198",No,Yes,86.6,13.4,Rural
Western Kenya,Kenya,4260,Western Facility 541,Clinic,28,15,44,10240,6,"195,628",No,Yes,85.7,10.8,Rural
Central Senegal,Senegal,1394,Central Facility 542,Clinic,92,12,47,5759,16,"57,941",No,Yes,74.5,19.1,Rural
Eastern Ethiopia,Ethiopia,630,Eastern Facility 543,Clinic,38,18,42,19986,40,"121,173",Yes,No,88.9,13.7,Rural
Eastern Nigeria,Nigeria,2752,Eastern Facility 544,Clinic,68,15,6,16651,40,"121,541",Yes,No,77.8,8.6,Rural
Western Uganda,Uganda,598,Western Facility 545,Clinic,52,7,8,1638,57,"26,403",No,No,87.1,7.7,Rural
Dar es Salaam,Tanzania,4047,Dar Facility 546,Hospital,35,20,33,19785,12,"193,987",Yes,No,88.3,19,Rural
Central Malawi,Malawi,9087,Central Facility 547,Health Center,76,18,33,16987,48,"141,510",No,Yes,67.7,2.6,Urban
Central Malawi,Malawi,1790,Central Facility 548,Hospital,52,8,11,2164,19,"109,694",Yes,No,74.7,11.7,Rural
Northern Ghana,Ghana,5780,Northern Facility 549,Health Center,78,12,38,9894,48,"195,492",Yes,No,82.2,10.7,Urban
Dar es Salaam,Tanzania,2073,Dar Facility 550,Health Center,46,8,26,15186,12,"113,484",No,No,72.9,11.4,Rural
Dar es Salaam,Tanzania,9197,Dar Facility 551,Health Center,85,13,36,1676,40,"160,556",Yes,Yes,65.5,10.5,Urban
Eastern Nigeria,Nigeria,1853,Eastern Facility 552,Hospital,72,7,18,7082,18,"143,205",Yes,Yes,63.2,10.9,Rural
Central Senegal,Senegal,2076,Central Facility 553,Health Center,83,12,41,18942,55,"99,019",Yes,No,63.6,9.7,Rural
Eastern Rwanda,Rwanda,7001,Eastern Facility 554,Hospital,57,7,5,1584,38,"48,159",No,Yes,79.5,2,Urban
Eastern Nigeria,Nigeria,915,Eastern Facility 555,Hospital,71,2,22,4648,51,"108,149",Yes,Yes,84.3,9.9,Rural
Dar es Salaam,Tanzania,6013,Dar Facility 556,Hospital,30,15,26,9674,55,"180,886",Yes,Yes,73.6,7,Urban
Southern Zambia,Zambia,6594,Southern Facility 557,Health Center,41,12,50,11166,38,"84,630",Yes,No,88.2,4.9,Urban
Dar es Salaam,Tanzania,5804,Dar Facility 558,Health Center,42,3,33,18786,8,"84,775",Yes,No,73.8,5.3,Urban
Central Senegal,Senegal,7865,Central Facility 559,Hospital,73,20,10,14887,11,"111,069",No,No,63.1,9.6,Urban
Northern Ghana,Ghana,8581,Northern Facility 560,Clinic,78,6,35,14173,54,"97,191",No,Yes,63.1,9.4,Urban
Western Kenya,Kenya,7755,Western Facility 561,Hospital,66,4,34,19278,13,"194,643",Yes,No,68.9,15.4,Urban
Central Malawi,Malawi,6091,Central Facility 562,Health Center,7,6,42,19934,30,"177,875",Yes,No,70,7.4,Urban
Northern Ghana,Ghana,8852,Northern Facility 563,Health Center,90,19,33,14965,48,"100,918",Yes,Yes,69.9,4.7,Urban
Central Senegal,Senegal,6636,Central Facility 564,Health Center,58,1,34,19518,52,"93,064",No,Yes,73.6,1.4,Urban
Central Malawi,Malawi,3486,Central Facility 565,Health Center,48,5,15,10406,13,"198,826",No,Yes,69.3,11.2,Rural
Central Malawi,Malawi,5017,Central Facility 566,Hospital,73,18,21,2425,42,"67,233",Yes,Yes,78.1,15.3,Urban
Northern Ghana,Ghana,2160,Northern Facility 567,Health Center,77,2,20,18203,12,"80,043",Yes,Yes,75.5,18.3,Rural
Central Senegal,Senegal,8560,Central Facility 568,Health Center,18,9,7,11362,51,"51,745",No,No,78.5,3.3,Urban
Eastern Nigeria,Nigeria,1081,Eastern Facility 569,Hospital,11,20,31,7085,55,"21,667",No,No,74.1,15.8,Rural
Western Kenya,Kenya,3816,Western Facility 570,Hospital,48,18,25,7846,37,"22,436",Yes,Yes,80.9,16.8,Rural
Central Senegal,Senegal,3484,Central Facility 571,Health Center,90,6,15,9594,36,"108,418",Yes,Yes,89.2,17.3,Rural
Central Malawi,Malawi,1222,Central Facility 572,Hospital,69,17,36,4131,46,"170,733",Yes,Yes,94.8,7.4,Rural
Central Senegal,Senegal,9172,Central Facility 573,Health Center,50,3,15,15595,32,"53,009",No,No,70.7,8.8,Urban
Eastern Nigeria,Nigeria,6405,Eastern Facility 574,Clinic,67,10,21,6676,21,"165,601",Yes,No,64.1,3.9,Urban
Northern Ghana,Ghana,2630,Northern Facility 575,Hospital,37,14,13,7724,42,"30,016",No,Yes,79.3,2.7,Rural
Eastern Ethiopia,Ethiopia,3581,Eastern Facility 576,Health Center,35,12,43,19691,47,"177,834",No,No,68.7,12,Rural
Eastern Ethiopia,Ethiopia,3217,Eastern Facility 577,Clinic,90,10,18,6287,27,"173,057",No,Yes,84.2,11.8,Rural
Northern Ghana,Ghana,2820,Northern Facility 578,Clinic,51,8,50,14682,26,"162,651",Yes,Yes,72,15.9,Rural
Eastern Ethiopia,Ethiopia,7070,Eastern Facility 579,Clinic,21,4,5,11573,45,"127,295",No,Yes,64.6,19.3,Urban
Central Senegal,Senegal,6352,Central Facility 580,Clinic,63,13,6,12322,41,"149,772",Yes,Yes,71.9,12.2,Urban
Western Kenya,Kenya,1408,Western Facility 581,Clinic,13,7,9,1543,35,"129,191",No,No,70.7,1.8,Rural
Northern Ghana,Ghana,7999,Northern Facility 582,Hospital,89,4,28,4923,7,"197,531",No,Yes,63.3,17.9,Urban
Eastern Rwanda,Rwanda,9304,Eastern Facility 583,Health Center,15,1,9,7541,20,"143,393",No,No,85,1.9,Urban
Western Kenya,Kenya,6810,Western Facility 584,Clinic,84,17,24,19159,55,"26,595",No,No,73.5,1.3,Urban
Western Uganda,Uganda,4843,Western Facility 585,Clinic,88,1,12,3798,42,"88,682",Yes,Yes,71.9,11.3,Rural
Central Malawi,Malawi,2462,Central Facility 586,Clinic,52,7,45,11963,57,"170,641",Yes,No,82.5,15,Rural
Eastern Rwanda,Rwanda,2445,Eastern Facility 587,Health Center,80,18,18,10896,57,"69,948",Yes,Yes,69,15.5,Rural
Eastern Nigeria,Nigeria,4618,Eastern Facility 588,Clinic,94,2,18,5546,17,"34,286",Yes,No,87.7,6,Rural
Southern Zambia,Zambia,4609,Southern Facility 589,Hospital,84,7,23,4816,43,"14,548",Yes,No,79.4,19.4,Rural
Eastern Rwanda,Rwanda,1246,Eastern Facility 590,Health Center,93,18,46,15618,60,"62,954",Yes,Yes,62,7.2,Rural
Eastern Ethiopia,Ethiopia,5336,Eastern Facility 591,Health Center,23,2,47,18728,56,"53,687",No,Yes,81.3,17.1,Urban
Central Malawi,Malawi,9419,Central Facility 592,Health Center,14,5,49,3547,47,"145,443",Yes,Yes,65.5,9.8,Urban
Northern Ghana,Ghana,6893,Northern Facility 593,Hospital,19,6,23,6126,23,"116,310",Yes,No,75.2,10.3,Urban
Central Malawi,Malawi,9808,Central Facility 594,Clinic,17,17,9,6735,9,"112,692",No,No,76.8,1.8,Urban
Eastern Rwanda,Rwanda,5747,Eastern Facility 595,Health Center,33,14,15,7696,12,"143,495",Yes,Yes,76.9,9.3,Urban
Eastern Ethiopia,Ethiopia,8393,Eastern Facility 596,Health Center,46,11,6,9901,59,"16,246",Yes,No,69.8,7.8,Urban
Dar es Salaam,Tanzania,1066,Dar Facility 597,Health Center,44,3,16,3892,30,"68,077",No,No,68.6,7,Rural
Central Malawi,Malawi,5465,Central Facility 598,Clinic,99,6,17,4221,18,"27,277",Yes,Yes,68.7,7.1,Urban
Northern Ghana,Ghana,3901,Northern Facility 599,Health Center,15,10,26,4734,7,"55,912",Yes,Yes,90.7,13,Rural
Western Kenya,Kenya,7967,Western Facility 600,Hospital,69,17,25,16125,31,"172,441",No,Yes,84.2,18.6,Urban
Eastern Rwanda,Rwanda,5363,Eastern Facility 601,Health Center,80,1,6,15302,46,"68,837",No,Yes,64.9,11.2,Urban
Southern Zambia,Zambia,1343,Southern Facility 602,Hospital,55,2,28,13201,21,"86,396",No,Yes,61.1,5.9,Rural
Western Uganda,Uganda,2314,Western Facility 603,Hospital,47,18,31,12442,47,"130,966",No,No,94.9,14.7,Rural
Eastern Nigeria,Nigeria,6549,Eastern Facility 604,Clinic,64,12,44,15505,48,"163,793",No,No,80.6,13,Urban
Western Kenya,Kenya,6542,Western Facility 605,Hospital,45,1,37,19073,42,"18,278",No,No,66.6,10.7,Urban
Western Uganda,Uganda,5570,Western Facility 606,Health Center,24,13,27,5896,43,"64,317",Yes,Yes,78.1,19.9,Urban
Southern Zambia,Zambia,6127,Southern Facility 607,Health Center,93,16,29,6581,41,"173,284",No,No,72.8,10.2,Urban
Eastern Ethiopia,Ethiopia,4857,Eastern Facility 608,Hospital,54,6,28,8638,58,"83,091",No,Yes,93.2,18.9,Rural
Eastern Ethiopia,Ethiopia,5636,Eastern Facility 609,Health Center,84,8,46,15950,14,"79,716",No,No,61.3,5.8,Urban
Western Kenya,Kenya,9937,Western Facility 610,Health Center,95,4,46,17275,53,"34,403",No,Yes,66.8,1.3,Urban
Dar es Salaam,Tanzania,9985,Dar Facility 611,Clinic,64,8,40,10330,43,"182,169",No,No,85.2,8.9,Urban
Dar es Salaam,Tanzania,6447,Dar Facility 612,Health Center,50,1,9,3751,29,"79,482",Yes,Yes,83.7,13,Urban
Western Kenya,Kenya,6368,Western Facility 613,Clinic,6,4,42,3439,23,"42,063",No,Yes,68.9,6.5,Urban
Central Malawi,Malawi,3960,Central Facility 614,Hospital,89,2,49,20000,38,"44,868",Yes,No,94.1,1.7,Rural
Southern Zambia,Zambia,8278,Southern Facility 615,Hospital,64,4,14,18377,25,"114,613",No,Yes,80.8,17.7,Urban
Southern Zambia,Zambia,2855,Southern Facility 616,Health Center,77,19,25,5606,25,"44,828",Yes,No,70.5,13.7,Rural
Western Uganda,Uganda,5565,Western Facility 617,Clinic,61,2,23,15158,19,"20,064",No,Yes,69.2,8.7,Urban
Eastern Rwanda,Rwanda,4219,Eastern Facility 618,Health Center,92,20,9,6503,29,"20,510",No,No,66.4,18.3,Rural
Eastern Ethiopia,Ethiopia,7210,Eastern Facility 619,Hospital,62,5,50,8781,48,"60,875",No,Yes,71.7,1.2,Urban
Western Kenya,Kenya,7516,Western Facility 620,Clinic,7,11,24,16916,43,"117,546",Yes,No,67.6,4,Urban
Eastern Ethiopia,Ethiopia,4617,Eastern Facility 621,Clinic,57,8,50,8008,49,"149,679",Yes,Yes,91.8,8.3,Rural
Central Malawi,Malawi,8154,Central Facility 622,Hospital,31,14,22,12908,48,"40,433",No,No,90.3,19.6,Urban
Eastern Rwanda,Rwanda,5750,Eastern Facility 623,Clinic,67,15,34,5617,39,"48,154",Yes,No,74.8,7.3,Urban
Western Uganda,Uganda,4822,Western Facility 624,Clinic,13,18,48,12993,60,"72,777",No,No,78.6,13,Rural
Dar es Salaam,Tanzania,5643,Dar Facility 625,Hospital,45,18,36,11996,26,"86,465",Yes,No,70.6,11.8,Urban
Eastern Nigeria,Nigeria,4787,Eastern Facility 626,Hospital,5,15,27,9850,27,"195,538",No,Yes,81.9,2.8,Rural
Eastern Rwanda,Rwanda,8593,Eastern Facility 627,Clinic,66,6,13,12794,38,"57,759",No,No,62.6,17.3,Urban
Eastern Ethiopia,Ethiopia,7409,Eastern Facility 628,Hospital,86,7,14,16087,24,"127,022",No,Yes,70.9,9.6,Urban
Southern Zambia,Zambia,1892,Southern Facility 629,Health Center,62,12,42,18529,11,"139,781",Yes,Yes,60.9,17.3,Rural
Dar es Salaam,Tanzania,2491,Dar Facility 630,Health Center,6,10,30,3136,50,"79,199",No,Yes,86.8,9.5,Rural
Western Kenya,Kenya,2384,Western Facility 631,Hospital,23,9,49,1606,13,"177,106",Yes,No,72.9,6.6,Rural
Southern Zambia,Zambia,956,Southern Facility 632,Clinic,57,16,39,1286,20,"120,548",No,No,88.1,11.1,Rural
Dar es Salaam,Tanzania,5736,Dar Facility 633,Clinic,44,2,12,12216,9,"49,715",Yes,No,77.6,1.4,Urban
Eastern Nigeria,Nigeria,3860,Eastern Facility 634,Hospital,74,2,16,13986,46,"164,678",Yes,No,76.8,14.6,Rural
Northern Ghana,Ghana,9119,Northern Facility 635,Hospital,82,13,43,3981,39,"107,198",No,No,84.4,7.6,Urban
Eastern Nigeria,Nigeria,1992,Eastern Facility 636,Clinic,77,3,17,17209,57,"154,167",Yes,No,81.6,5.7,Rural
Southern Zambia,Zambia,556,Southern Facility 637,Hospital,60,12,50,4502,21,"29,485",Yes,Yes,65.4,11.4,Rural
Central Malawi,Malawi,3044,Central Facility 638,Health Center,71,13,15,13721,60,"164,191",No,No,92,3,Rural
Western Kenya,Kenya,8937,Western Facility 639,Clinic,14,3,47,18880,22,"65,564",No,Yes,85.6,12.7,Urban
Dar es Salaam,Tanzania,9452,Dar Facility 640,Clinic,41,12,16,1698,48,"77,424",No,No,72.7,19.9,Urban
Western Uganda,Uganda,6210,Western Facility 641,Clinic,68,4,50,15634,10,"170,422",Yes,No,85.8,12.7,Urban
Western Uganda,Uganda,7375,Western Facility 642,Health Center,54,6,30,9888,20,"128,687",Yes,Yes,73.5,13.4,Urban
Western Uganda,Uganda,1797,Western Facility 643,Health Center,89,4,47,2057,9,"174,371",Yes,No,74,11.1,Rural
Western Kenya,Kenya,1117,Western Facility 644,Clinic,12,6,42,2640,22,"99,638",No,Yes,88.8,19.7,Rural
Western Kenya,Kenya,8401,Western Facility 645,Health Center,65,8,36,12765,47,"90,655",No,No,79.1,1.4,Urban
Central Senegal,Senegal,3501,Central Facility 646,Health Center,94,6,20,7650,38,"57,091",Yes,Yes,70.4,14.3,Rural
Eastern Ethiopia,Ethiopia,6254,Eastern Facility 647,Clinic,11,15,21,5517,25,"139,741",No,Yes,87.9,12.5,Urban
Western Uganda,Uganda,1815,Western Facility 648,Hospital,19,12,11,18240,21,"91,911",No,No,60.8,2,Rural
Eastern Ethiopia,Ethiopia,4911,Eastern Facility 649,Health Center,46,14,20,13588,31,"40,246",Yes,Yes,79.4,12.1,Rural
Eastern Rwanda,Rwanda,4277,Eastern Facility 650,Health Center,14,10,13,15172,50,"75,452",No,No,75.6,16.6,Rural
Eastern Ethiopia,Ethiopia,3249,Eastern Facility 651,Clinic,31,15,44,8209,27,"19,062",Yes,Yes,91.1,8.2,Rural
Western Uganda,Uganda,6251,Western Facility 652,Clinic,22,13,49,19665,59,"17,122",Yes,Yes,71.7,1.1,Urban
Central Malawi,Malawi,8011,Central Facility 653,Clinic,62,12,24,7466,51,"54,998",No,Yes,74.9,18,Urban
